EACODE;source;value
10407002;Madzi Alipo;21
10407003;DoIWD;5
10407003;Madzi Alipo;4
10407004;DoIWD;20
10407004;Madzi Alipo;23
10407005;DoIWD;1
10407005;Madzi Alipo;4
10407005;WPDx;1
10407006;DoIWD;23
10407006;Madzi Alipo;26
10407006;OSM;3
10407006;WPDx;6
10407007;DoIWD;17
10407007;Madzi Alipo;13
10407007;WPDx;5
10407008;DoIWD;22
10407008;Madzi Alipo;27
10407008;WPDx;2
10407009;DoIWD;20
10407009;Madzi Alipo;20
10407009;WPDx;7
10407010;DoIWD;11
10407010;Madzi Alipo;8
10407010;WPDx;2
10407011;DoIWD;19
10407011;Madzi Alipo;34
10408001;DoIWD;10
10408001;Madzi Alipo;2
10408002;DoIWD;2
10408002;Madzi Alipo;10
10408003;DoIWD;22
10408003;Madzi Alipo;8
10408003;WPDx;1
10408004;DoIWD;13
10408004;Madzi Alipo;41
10408004;WPDx;2
10408005;DoIWD;17
10408005;Madzi Alipo;72
10408005;WPDx;5
10408006;DoIWD;9
10408006;Madzi Alipo;19
10408007;DoIWD;6
10408007;Madzi Alipo;19
10408801;DoIWD;23
10408801;Madzi Alipo;22
10408801;WPDx;3
10409001;DoIWD;28
10409001;Madzi Alipo;79
10409001;WPDx;5
10409002;DoIWD;24
10409002;Madzi Alipo;15
10409003;DoIWD;10
10409003;Madzi Alipo;19
10410901;WPDx;1
10411901;DoIWD;5
10411901;Madzi Alipo;3
10411901;WPDx;1
10420701;DoIWD;3
10420701;Madzi Alipo;11
10420702;DoIWD;7
10420702;Madzi Alipo;35
10420703;Madzi Alipo;11
10420704;Madzi Alipo;59
10420704;OSM;5
10420705;DoIWD;8
10420705;Madzi Alipo;34
10420705;OSM;5
10420706;DoIWD;5
10420706;Madzi Alipo;110
10420706;OSM;3
10420707;DoIWD;8
10420707;Madzi Alipo;46
10420708;DoIWD;8
10420708;Madzi Alipo;12
10420709;DoIWD;8
10420709;Madzi Alipo;39
10420710;DoIWD;11
10420710;Madzi Alipo;59
10501001;DoIWD;9
10501002;DoIWD;9
10501003;DoIWD;5
10501004;DoIWD;10
10501005;DoIWD;5
10501006;DoIWD;4
10501007;DoIWD;6
10501008;DoIWD;12
10501009;DoIWD;23
10501010;DoIWD;9
10501011;DoIWD;2
10501013;DoIWD;3
10501014;DoIWD;9
10501015;DoIWD;10
10501016;DoIWD;6
10501017;DoIWD;10
10501018;DoIWD;14
10501019;DoIWD;3
10501020;DoIWD;10
10501021;DoIWD;11
10501022;DoIWD;13
10501023;DoIWD;13
10501024;DoIWD;6
10501025;DoIWD;7
10501026;DoIWD;9
10501027;DoIWD;18
10501028;DoIWD;2
10501029;DoIWD;17
10501030;DoIWD;12
10501031;DoIWD;8
10501032;DoIWD;9
10501033;DoIWD;13
10501034;DoIWD;10
10501035;DoIWD;19
10501036;DoIWD;7
10501037;DoIWD;3
10501038;DoIWD;12
10501039;DoIWD;11
10501040;DoIWD;23
10501041;DoIWD;10
10501042;DoIWD;14
10501043;DoIWD;13
10501044;DoIWD;16
10501045;DoIWD;9
10501046;DoIWD;13
10501047;DoIWD;19
10501048;DoIWD;12
10501049;DoIWD;17
10501050;DoIWD;7
10501051;DoIWD;8
10501052;DoIWD;12
10501053;DoIWD;9
10501054;DoIWD;20
10501055;DoIWD;22
10501056;DoIWD;12
10501057;DoIWD;12
10501058;DoIWD;6
10501059;DoIWD;21
10501060;DoIWD;22
10501060;Madzi Alipo;2
10501060;WPDx;2
10501801;DoIWD;8
10501801;Madzi Alipo;1
10501801;WPDx;1
10502001;DoIWD;7
10502001;Madzi Alipo;1
10502002;DoIWD;3
10502003;DoIWD;1
10502004;DoIWD;7
10502004;Madzi Alipo;6
10502004;OSM;1
10502005;DoIWD;14
10502005;Madzi Alipo;1
10502005;WPDx;1
10502006;DoIWD;18
10502007;DoIWD;9
10502008;DoIWD;12
10502009;DoIWD;4
10502010;DoIWD;3
10502011;DoIWD;7
10502012;DoIWD;15
10502013;DoIWD;27
10502014;DoIWD;18
10502015;DoIWD;35
10502016;DoIWD;24
10502017;DoIWD;9
10502018;DoIWD;5
10502019;DoIWD;6
10502020;DoIWD;7
10502020;WPDx;4
10502021;DoIWD;5
10502022;DoIWD;12
10502023;DoIWD;2
10502024;DoIWD;8
10502025;DoIWD;19
10502026;DoIWD;45
10502027;DoIWD;31
10502028;DoIWD;10
10502029;DoIWD;19
10502030;DoIWD;11
10502031;DoIWD;13
10502032;DoIWD;6
10502033;DoIWD;22
10502034;DoIWD;13
10502035;DoIWD;1
10502036;DoIWD;11
10502037;DoIWD;5
10502038;DoIWD;11
10502039;DoIWD;44
10502039;Madzi Alipo;1
10502039;WPDx;1
10502040;DoIWD;23
10502041;DoIWD;8
10502042;DoIWD;18
10502043;DoIWD;50
10502044;DoIWD;50
10502045;DoIWD;48
10502046;DoIWD;13
10502047;DoIWD;23
10502048;DoIWD;9
10502049;DoIWD;13
10502050;DoIWD;11
10502051;DoIWD;15
10502052;DoIWD;16
10502053;DoIWD;18
10502054;DoIWD;11
10502055;DoIWD;16
10502056;DoIWD;11
10502057;DoIWD;12
10502058;DoIWD;11
10502059;DoIWD;20
10502060;DoIWD;20
10502061;DoIWD;15
10502062;DoIWD;5
10502063;DoIWD;25
10502064;DoIWD;35
10502065;DoIWD;14
10502066;DoIWD;7
10502067;DoIWD;12
10502068;DoIWD;18
10502069;DoIWD;6
10502070;DoIWD;15
10502071;DoIWD;17
10502072;DoIWD;7
10502801;DoIWD;11
10502802;DoIWD;20
10502803;DoIWD;26
10502804;DoIWD;22
10502805;DoIWD;6
10502806;DoIWD;9
10502902;DoIWD;1
10503001;DoIWD;6
10503002;DoIWD;17
10503003;DoIWD;9
10503004;DoIWD;20
10503005;DoIWD;23
10503006;DoIWD;12
10503009;DoIWD;2
10503010;DoIWD;14
10503011;DoIWD;6
10503012;DoIWD;7
10503013;DoIWD;5
10503014;DoIWD;3
10503015;DoIWD;23
10503016;DoIWD;10
10503017;DoIWD;18
10503018;DoIWD;29
10503019;DoIWD;13
10503020;DoIWD;12
10503021;DoIWD;10
10503022;DoIWD;9
10503023;DoIWD;15
10503025;DoIWD;1
10503026;DoIWD;10
10503027;DoIWD;12
10503028;DoIWD;4
10503029;DoIWD;1
10503031;DoIWD;12
10503801;DoIWD;20
10503901;DoIWD;3
10503907;DoIWD;2
10503908;DoIWD;12
10504001;DoIWD;11
